id,collection,subject_id,filename,user_name,created_at,Collection date,Country,County,Locality and habitat,State/Province
"52671066fe16d969660178e8","Macrofungi","5255604c8b033f0000000685","http://storage.idigbio.org/mich/mycology/00158/MICH-F-158230_lg.jpg","not-logged-in","2013-10-22 23:55:53",,,,,
"526714da72c1093b4c0176d2","Macrofungi","5253086912cc67bcfa003695","http://storage.idigbio.org/mich/mycology/00149/MICH-F-149369_lg.jpg","bthiers","2013-10-23 00:13:42","08/20/1885","United States","placeholder","near Perryville","MO"
"5267151efe16d96966017d07","Macrofungi","525592038b033f0000002718","http://storage.idigbio.org/mich/mycology/00165/MICH-F-165893_lg.jpg","bthiers","2013-10-23 00:16:02","09/16/1975","Switzerland",,"Near Davos",
"5267157ffe16d96966017d6c","Macrofungi","525589538b033f00000021b7","http://storage.idigbio.org/mich/mycology/00163/MICH-F-163686_lg.jpg","bthiers","2013-10-23 00:17:03","07/19/1967","United States","Cheboygan","Berry Creek","MI"
"526794fafe16d9696601dd2c","Macrofungi","525562108b033f00000007e9","http://storage.idigbio.org/mich/mycology/00158/MICH-F-158408_lg.jpg","T-M","2013-10-23 09:20:58","10/21/1970","United States","Marquette","On alder. Ives Lake","MI"
"5267ecedfe16d96966022d7f","Macrofungi","525451f75c2a1100000004cc","http://storage.idigbio.org/mich/mycology/00153/MICH-F-153652_lg.jpg","not-logged-in","2013-10-23 15:36:49",,,,,
"5267ed7772c10949460039a3","Macrofungi","5252b39d12cc67bcfa0000dd","http://storage.idigbio.org/mich/mycology/00136/MICH-F-136360_lg.jpg","not-logged-in","2013-10-23 15:38:31","08/12/1945","United States","Burlington","Common on sandy soil in pine barrens. Butler Camp Ground, Lebanon State Forest","NJ"
"5268271afe16d9227a0008fc","Macrofungi","525306ee12cc67bcfa0035bd","http://storage.idigbio.org/mich/mycology/00149/MICH-F-149144_lg.jpg","titaNium2","2013-10-23 19:45:02","","Canada","Brant","New Durham","Ontario"
"5268274efe16d9227a000962","Macrofungi","52557e408b033f0000001a66","http://storage.idigbio.org/mich/mycology/00162/MICH-F-162333_lg.jpg","titaNium2","2013-10-23 19:45:55",,,,,
"52682794fe16d9227a000988","Macrofungi","5252c88012cc67bcfa000dc5","http://storage.idigbio.org/mich/mycology/00140/MICH-F-140198_lg.jpg","titaNium2","2013-10-23 19:47:05",,"United Arab Erimates",,,
"5268298272c10962ed000c16","Macrofungi","5253186012cc67bcfa003ff2","http://storage.idigbio.org/mich/mycology/00151/MICH-F-151735_lg.jpg","titaNium2","2013-10-23 19:54:42","08/23/1968","United States","Marquette","Conway Lake, Huron Mt. Club","MI"
"52682a17fe16d9227a000c34","Macrofungi","525301a412cc67bcfa0032ad","http://storage.idigbio.org/mich/mycology/00148/MICH-F-148332_lg.jpg","titaNium2","2013-10-23 19:57:11","05/06/1929","United States","unknown","Ann Arbor, raised in lab from plants brought in on wood.","MI"
"52682af6fe16d9227a000d2a","Macrofungi","5255ba1a854723000000020e","http://storage.idigbio.org/uc/mycology/UC977/UC977210_lg.jpg","titaNium2","2013-10-23 20:01:30","12/03/1948","United States","Mendocino","Upper Buckhorn Trail near Little River. Determined, Phyllis Gardner. collectors Mrs. Marie L. Kelly & Miss Jean M. Boyd.","CA"
"52682b8ffe16d9227a000df3","Macrofungi","52557c028b033f00000018e0","http://storage.idigbio.org/mich/mycology/00162/MICH-F-162034_lg.jpg","titaNium2","2013-10-23 20:03:27","09/12/1956","United States","unknown","Papoose Creek","MI"
"52682c8672c10962ed000f2a","Macrofungi","5252e11c12cc67bcfa001f05","http://storage.idigbio.org/mich/mycology/00143/MICH-F-143643_lg.jpg","titaNium2","2013-10-23 20:07:33","10/07/1979","United States","unknown","collected and determined by K.A. Harrison in a coniferous wood. Melvern Square Vault Annapolis C. N.S.","MI"
"52682d4172c10962ed001002","Macrofungi","5252ec8712cc67bcfa002648","http://storage.idigbio.org/mich/mycology/00145/MICH-F-145269_lg.jpg","titaNium2","2013-10-23 20:10:41","04/20/1957","United States","Washtenaw","Superior Township, in Quercus  borealis Michx. Lawrence W. Hall.","MI"
"52682e2572c10962ed001112","Macrofungi","525583818b033f0000001df0","http://storage.idigbio.org/mich/mycology/00163/MICH-F-163022_1_lg.jpg","titaNium2","2013-10-23 20:14:29","00/00/0000","United States","Bonner","Priest River. Collected by A.H. Smith. Determined by A.S. Methven. No date given.","ID"
"5268310d72c10962ed0014c1","Macrofungi","5252d6ba12cc67bcfa00183f","http://storage.idigbio.org/mich/mycology/00141/MICH-F-141315_lg.jpg","titaNium2","2013-10-23 20:26:52","08/14/1957","United States","Pitkin","Park area.","CO"
"526831adfe16d9227a0014b8","Macrofungi","5252ed8812cc67bcfa0026d9","http://storage.idigbio.org/mich/mycology/00145/MICH-F-145408_lg.jpg","titaNium2","2013-10-23 20:29:33","07/29/1949","United States","unknown","Bettles, North of Polar Circle, on White Birch.","AK"
"5268327d72c10962ed001680","Macrofungi","525587a78b033f00000020a1","http://storage.idigbio.org/mich/mycology/00163/MICH-F-163531_lg.jpg","titaNium2","2013-10-23 20:32:24","08/12/1968","United States","Marquette","Fisher Creek, H.M.C.,on rotten log. Collector Joe Ammirati.","MI"
"526832f2fe16d9227a001691","Macrofungi","52531adc12cc67bcfa00414f","http://storage.idigbio.org/mich/mycology/00152/MICH-F-152132_lg.jpg","titaNium2","2013-10-23 20:34:58","12/00/1892","United States","unknown","Alcove, N.Y. On old logs of Fagus Ferruginea.","NY"
"5268338f72c10962ed001833","Macrofungi","52558b7c8b033f000000230d","http://storage.idigbio.org/mich/mycology/00163/MICH-F-163975_lg.jpg","titaNium2","2013-10-23 20:37:35","07/30/1970","United States","Marquette","Upper Falls, Salmon-Trout River, coniferous woods.","MI"
"526833f572c10962ed0018aa","Macrofungi","5254563f5c2a110000000730","http://storage.idigbio.org/mich/mycology/00154/MICH-F-154226_lg.jpg","titaNium2","2013-10-23 20:38:40","11/01/1913","United States","unknown","Ann Arbor.","MI"
"52683a31fe16d9227a002065","Macrofungi","525315f712cc67bcfa003e84","http://storage.idigbio.org/mich/mycology/00151/MICH-F-151384_lg.jpg","titaNium2","2013-10-23 21:05:52","08/25/1962","United States","Ontonagon","On birch log in mixed woods. Lake Superior Trail, Porcupine Mts. State Park.","MI"
"52683b2d72c1096b9b000272","Macrofungi","5255c2da8547230000000646","http://storage.idigbio.org/uc/mycology/UC654/UC654370_lg.jpg","titaNium2","2013-10-23 21:09:29","05/00/1930","United States","unknown","Kittery Point, Maine. On living Carya glabra (Mill.) Spach.","ME"
"52683be372c1096b9b00036e","Macrofungi","525578c58b033f00000016b8","http://storage.idigbio.org/mich/mycology/00161/MICH-F-161518_lg.jpg","titaNium2","2013-10-23 21:13:07","08/07/1967","Canada","Montmorency","On soil in deciduous woods, St. Francois d'Orleans.","Quebec"
"52683cb372c1096b9b0004aa","Macrofungi","525455a05c2a1100000006d1","http://storage.idigbio.org/mich/mycology/00154/MICH-F-154138_lg.jpg","titaNium2","2013-10-23 21:15:58","02/25/1923","United States","unknown","Cairo, Ill. on Willow. Pores 2-3 per mm. Tubes 4-5 per mm. D.V. Baxter coll. and det.","IL"
"52683d5572c1096b9b000546","Macrofungi","5254642b5c2a110000000f33","http://storage.idigbio.org/mich/mycology/00155/MICH-F-155862_lg.jpg","titaNium2","2013-10-23 21:19:17","07/26/1933","United States","unknown","Teklanida, Mt. McKinley Nat'l. Park, on cottonwood.","AK"
"52683dba72c1096b9b0005ca","Macrofungi","52530f7812cc67bcfa003aaf","http://storage.idigbio.org/mich/mycology/00150/MICH-F-150371_lg.jpg","titaNium2","2013-10-23 21:20:21","08/19/1968","United States","Marquette","Canyon Lake area, gregarious under Tsuga and Thuja under scattered hardwoods.","MI"
"52683e8672c1096b9b0006b7","Macrofungi","525310ec12cc67bcfa003b7b","http://storage.idigbio.org/mich/mycology/00150/MICH-F-150569_1_lg.jpg","titaNium2","2013-10-23 21:23:46","00/00/1950","placeholder","unknown county","Poplar in France coll. for Prod. Res. Lab., England det.: Gene A. Hesterberg.","unknown."
"52683ebcfe16d9227a00262f","Macrofungi","5252d8b912cc67bcfa001997","http://storage.idigbio.org/mich/mycology/00141/MICH-F-141576_lg.jpg","titaNium2","2013-10-23 21:25:16","08/08/1937","United States","Oakland","Pouzar La Bodie Lake.","MI"
"52683f7472c1096b9b0007da","Macrofungi","5255ae06d33eca00000000de","http://storage.idigbio.org/sfsu/mycology/SFSU-F-003/SFSU-F-003926_lg.jpg","titaNium2","2013-10-23 21:27:43","08/29/1964","United States","Payette","Pearl Creek, Upper Payette Lake. Solitary in humus in mixed woods.","ID"
"52683fd4fe16d9227a002798","Macrofungi","5252e66212cc67bcfa002288","http://storage.idigbio.org/mich/mycology/00144/MICH-F-144360_lg.jpg","titaNium2","2013-10-23 21:30:32","08/18/1924","United States","unknown","CLendenin, W. Va. on beech log.","WV"
"52684045fe16d9227a002825","Macrofungi","5252e70a12cc67bcfa0022f2","http://storage.idigbio.org/mich/mycology/00144/MICH-F-144459_lg.jpg","titaNium2","2013-10-23 21:32:25","10/27/1961","United States","Gratiot","State Game area, Edgewood, on log, coll. and det. by V. Potter.","MI"
"526840f5fe16d9227a002913","Macrofungi","52544bb25c2a11000000013c","http://storage.idigbio.org/mich/mycology/00152/MICH-F-152582_lg.jpg","titaNium2","2013-10-23 21:34:45","10/05/1919","United States","unknown","Ann Arbor. On rotten stump 8nd woods.","MI"
"526841c272c1096b9b000acf","Macrofungi","525578ca8b033f00000016bb","http://storage.idigbio.org/mich/mycology/00161/MICH-F-161570_lg.jpg","titaNium2","2013-10-23 21:38:10","08/28/1962","United States","Ontonagon","Lake Superior Trail, Porcupine Mts. State Park. Cespritose on soil in hemlock-hardwoods forest.","MI"
"52684206fe16d9227a002a56","Macrofungi","5255741a8b033f00000013a4","http://storage.idigbio.org/mich/mycology/00160/MICH-F-160889_lg.jpg","titaNium2","2013-10-23 21:39:18","08/16/1952","United States","Mackinac","Under hardwoods.","MI"
"526842c1fe16d9227a002bae","Macrofungi","52556b4c8b033f0000000e7a","http://storage.idigbio.org/mich/mycology/00159/MICH-F-159790_lg.jpg","titaNium2","2013-10-23 21:43:02","07/24/1952","United States","unknown","Tahquamenon Falls State Park. Subcaespitose on humus.","MI"
"526842f272c1096b9b000c4b","Macrofungi","52558fee8b033f00000025d6","http://storage.idigbio.org/mich/mycology/00165/MICH-F-165580_lg.jpg","titaNium2","2013-10-23 21:43:14",,,,,
